kode_univ,kode_prodi,nama_prodi,jenjang,daya_tampung_2023,peminat_2018,peminat_2019,peminat_2020,peminat_2021,peminat_2022,daya_tampung_2018,daya_tampung_2019,daya_tampung_2020,daya_tampung_2021,daya_tampung_2022
111,111030,STATISTIKA,Sarjana,23,391,325,368,267,292,15,18,25,25,23
111,111031,PEMANFAATAN SUMBERDAYA PERIKANAN,Sarjana,38,166,88,106,61,59,45,54,45,45,30
111,111032,ILMU TANAH,Sarjana,23,179,117,125,65,75,24,24,20,20,20
111,111033,TEKNIK GEOLOGI,Sarjana,20,88,57,68,78,101,12,18,20,20,20
111,111034,AGROTEKNOLOGI (PSDKU GAYO LUES),Sarjana,10,22,19,10,5,5,18,15,13,13,13
111,111035,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),Sarjana,13,7,4,6,2,1,8,12,10,10,10
111,111036,KEHUTANAN (PSDKU GAYO LUES),Sarjana,13,36,22,3,25,13,18,12,13,13,13
111,111037,PROTEKSI TANAMAN,Sarjana,15,96,80,98,43,53,18,24,20,20,20
111,111038,PERENCANAAN WILAYAH DAN KOTA,Sarjana,23,348,249,240,221,250,12,18,15,15,15
111,111039,KEHUTANAN,Sarjana,25,132,87,102,179,148,18,24,20,20,20
111,111040,TEKNIK KOMPUTER,Sarjana,30,843,485,516,639,701,24,30,25,25,25
111,111041,EKONOMI PEMBANGUNAN,Sarjana,40,314,149,140,245,227,36,48,40,40,54
111,111042,MANAJEMEN,Sarjana,65,1213,714,633,990,847,36,48,50,50,73
111,111043,AKUNTANSI,Sarjana,50,830,471,454,648,527,36,48,40,40,54
111,111044,ILMU HUKUM,Sarjana,124,557,342,331,764,639,108,120,100,100,110
111,111045,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,28,83,66,59,155,191,23,27,25,25,25
111,111046,PENDIDIKAN SEJARAH,Sarjana,28,164,105,109,171,183,21,27,25,25,25
111,111047,PENDIDIKAN EKONOMI,Sarjana,28,127,78,69,132,127,23,27,25,25,25
111,111048,PENDIDIKAN GEOGRAFI,Sarjana,28,283,194,146,172,148,21,27,25,25,25
111,111049,PENDIDIKAN BAHASA INDONESIA,Sarjana,25,161,101,103,261,208,23,27,23,23,23
111,111050,PENDIDIKAN BAHASA INGGRIS,Sarjana,30,170,86,103,322,248,30,36,30,30,30
111,111051,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,Sarjana,31,66,40,86,227,239,21,36,30,30,30
111,111052,PENDIDIKAN KESEJAHTERAAN KELUARGA,Sarjana,28,294,185,178,408,372,23,30,25,25,25
111,111053,PEND. JASMANI KESEHATAN DAN REKREASI,Sarjana,31,67,61,64,92,66,30,36,30,30,30
111,111054,BIMBINGAN KONSELING,Sarjana,28,194,101,132,347,463,21,30,25,25,25
111,111055,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,33,803,697,839,670,657,27,36,30,30,30
111,111056,PSIKOLOGI,Sarjana,20,761,464,515,436,398,15,24,25,25,20
111,111057,ILMU POLITIK,Sarjana,38,184,69,91,127,116,36,36,35,35,35
111,111058,SOSIOLOGI,Sarjana,38,286,171,179,187,210,36,36,35,35,35
111,111059,ILMU KOMUNIKASI,Sarjana,38,354,210,205,363,356,36,36,35,35,35
111,111060,PENDIDIKAN GURU PAUD,Sarjana,28,404,252,265,321,281,23,27,25,25,25
111,111061,ILMU PEMERINTAHAN,Sarjana,38,219,106,98,171,233,36,36,35,35,35
111,111062,EKONOMI ISLAM,Sarjana,40,294,176,139,267,296,24,36,35,35,54
111,111063,MANAJEMEN (PSDKU GAYO LUES),Sarjana,15,27,35,16,16,12,18,27,23,23,13
112,112001,TEKNIK SIPIL,Sarjana,150,471,239,289,272,268,100,75,135,150,150
112,112002,TEKNIK MESIN,Sarjana,150,233,131,133,189,198,100,75,135,150,150
112,112003,TEKNIK KIMIA,Sarjana,150,238,133,155,121,138,100,75,135,150,150
112,112004,TEKNIK ELEKTRO,Sarjana,100,236,165,143,135,125,80,60,90,100,100
112,112005,TEKNIK INDUSTRI,Sarjana,125,413,215,257,212,273,80,60,113,125,125
112,112006,TEKNIK INFORMATIKA,Sarjana,125,848,544,555,569,621,80,60,113,125,125
112,112007,TEKNIK ARSITEKTUR,Sarjana,100,199,97,119,102,130,60,48,90,100,100
112,112008,AGROEKOTEKNOLOGI,Sarjana,120,384,247,272,218,255,80,60,108,120,120
112,112009,AGRIBISNIS,Sarjana,60,542,305,235,206,228,60,45,54,60,60
112,112010,AKUAKULTUR,Sarjana,45,143,76,32,25,33,60,36,41,45,45
112,112011,KEDOKTERAN,Sarjana,39,738,518,614,661,718,24,24,36,24,24
112,112012,PENDIDIKAN FISIKA,Sarjana,60,95,56,35,31,48,40,36,54,60,60
112,112013,PENDIDIKAN KIMIA,Sarjana,60,95,54,55,55,57,40,24,54,60,60
112,112014,PENDIDIKAN MATEMATIKA,Sarjana,60,205,87,93,118,138,40,24,54,60,60
112,112015,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Sarjana,30,41,31,15,19,19,40,24,27,30,30
112,112016,SISTEM INFORMASI,Sarjana,100,214,165,203,168,260,45,42,90,100,100
112,112017,ILMU KELAUTAN,Sarjana,30,80,40,42,32,55,40,27,27,30,30
112,112020,MANAJEMEN,Sarjana,150,1155,549,575,662,731,120,90,135,150,150
112,112021,AKUNTANSI,Sarjana,125,677,373,385,389,391,60,75,113,125,125
112,112022,ILMU EKONOMI & STUDI PEMBANGUNAN,Sarjana,125,307,117,113,117,124,100,75,113,125,125
112,112023,ADMINISTRASI PUBLIK,Sarjana,160,636,349,203,197,262,120,81,144,160,160
112,112024,SOSIOLOGI,Sarjana,80,261,164,141,145,185,60,60,72,80,80
112,112025,ILMU POLITIK,Sarjana,100,126,44,36,51,59,60,48,90,100,100
112,112026,ANTROPOLOGI,Sarjana,80,81,56,44,26,50,45,36,72,80,80
112,112027,ILMU KOMUNIKASI,Sarjana,160,498,300,277,308,395,100,95,144,160,160
112,112028,HUKUM,Sarjana,225,521,305,285,384,398,180,120,203,225,225
112,112029,EKONOMI SYARIAH,Sarjana,80,371,206,209,296,194,60,48,72,80,80
112,112030,PSIKOLOGI,Sarjana,75,530,220,268,338,389,60,45,68,75,75
112,112031,PENDIDIKAN BAHASA INDONESIA,Sarjana,50,230,139,179,237,181,40,24,45,50,50
112,112032,ADMINISTRASI BISNIS,Sarjana,60,88,55,153,113,163,40,27,54,60,60
113,113001,TEKNIK SIPIL,Sarjana,52,149,72,68,69,89,42,24,48,48,48
113,113002,TEKNIK MESIN,Sarjana,56,54,26,37,75,84,28,16,32,28,48
113,113003,TEKNIK INDUSTRI,Sarjana,40,62,39,40,34,46,28,16,32,24,40
113,113004,AGRIBISNIS,Sarjana,48,161,70,99,108,111,42,24,48,36,48
113,113005,AGROTEKNOLOGI,Sarjana,40,81,45,60,98,58,42,24,48,40,40
113,113006,PERIKANAN,Sarjana,32,124,48,50,41,42,32,24,48,20,32
113,113007,KESEHATAN MASYARAKAT,Sarjana,60,228,159,192,225,322,42,30,64,64,80
113,113008,AKUAKULTUR,Sarjana,16,4,7,16,26,28,21,12,24,12,16
113,113009,SUMBER DAYA AKUATIK,Sarjana,16,5,4,3,12,14,21,12,24,12,16
113,113010,TEKNOLOGI HASIL PERTANIAN,Sarjana,36,79,34,54,62,55,21,16,32,16,36
113,113011,ILMU KELAUTAN,Sarjana,24,39,14,22,30,32,21,12,24,16,24
113,113014,EKONOMI PEMBANGUNAN,Sarjana,32,71,29,33,61,62,35,24,48,16,32
113,113015,ILMU ADMINISTRASI NEGARA,Sarjana,96,196,132,143,153,166,42,24,48,48,72
113,113016,SOSIOLOGI,Sarjana,48,133,92,92,114,106,32,24,48,40,48
113,113017,ILMU KOMUNIKASI,Sarjana,72,142,58,89,114,113,31,24,48,48,56
113,113018,MANAJEMEN,Sarjana,72,301,113,125,232,240,35,24,48,48,64
113,113019,AKUNTANSI,Sarjana,60,188,79,89,171,147,35,24,48,48,56
113,113020,ILMU HUKUM,Sarjana,60,99,52,70,101,100,35,24,48,40,56
114,114001,AGROTEKNOLOGI,Sarjana,36,95,85,87,58,97,40,32,32,32,36
114,114002,AGRIBISNIS,Sarjana,60,195,139,151,112,146,40,32,32,32,48
114,114003,AKUAKULTUR,Sarjana,24,52,32,25,32,27,40,32,32,32,24
114,114004,PENDIDIKAN MATEMATIKA,Sarjana,12,69,38,51,44,46,20,16,16,16,12
114,114005,PENDIDIKAN FISIKA,Sarjana,12,33,15,14,16,18,20,16,16,16,12
114,114006,PENDIDIKAN KIMIA,Sarjana,12,25,20,19,16,16,20,16,16,16,12
114,114007,PENDIDIKAN BIOLOGI,Sarjana,36,75,68,91,73,90,40,32,32,32,24
114,114008,TEKNIK MESIN,Sarjana,28,57,34,45,40,77,40,32,32,32,24
114,114009,TEKNIK SIPIL,Sarjana,36,158,67,73,73,83,60,32,32,32,36
114,114010,TEKNIK INDUSTRI,Sarjana,36,67,31,37,38,75,20,16,16,16,24
114,114011,INFORMATIKA,Sarjana,60,257,124,182,216,215,40,32,32,32,36
114,114012,MATEMATIKA,Sarjana,12,30,25,11,17,26,20,16,16,16,12
114,114013,FISIKA,Sarjana,12,6,4,7,9,7,20,16,16,16,12
114,114014,KIMIA,Sarjana,12,28,11,9,12,22,20,16,16,16,12
114,114015,BIOLOGI,Sarjana,12,31,14,19,15,41,20,16,16,16,12
114,114016,HUKUM,Sarjana,80,185,106,131,144,154,60,48,48,48,64
114,114017,EKONOMI MANAJEMEN,Sarjana,80,398,234,255,288,380,60,48,48,48,64
114,114018,EKONOMI PEMBANGUNAN,Sarjana,32,102,46,55,48,80,40,32,32,32,32
114,114019,PENDIDIKAN SEJARAH,Sarjana,48,92,77,78,72,99,40,32,32,32,48
114,114020,PENDIDIKAN GEOGRAFI,Sarjana,48,106,76,72,70,77,40,32,32,32,32
114,114021,PENDIDIKAN JASMANI,Sarjana,32,20,13,15,26,45,40,32,32,32,32
114,114022,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,112,329,293,355,386,496,60,48,48,48,80
114,114023,PENDIDIKAN BAHASA INGGRIS,Sarjana,32,146,82,67,72,79,40,32,32,32,32
114,114024,PENDIDIKAN BAHASA INDONESIA,Sarjana,48,125,80,78,88,121,20,16,16,16,32
114,114025,AKUNTANSI,Sarjana,48,207,104,112,118,151,40,32,32,32,48
115,115001,SENI KARAWITAN,Sarjana,18,1,0,1,4,1,12,9,11,12,12
115,115002,SENI TARI,Sarjana,18,5,2,4,3,4,12,9,12,12,12
115,115003,SENI TEATER,Sarjana,9,1,3,2,1,1,12,6,8,8,9
115,115004,SENI RUPA MURNI,Sarjana,18,4,4,2,5,3,12,9,11,11,12
115,115006,DESAIN KOMUNIKASI VISUAL,Sarjana,24,5,6,11,18,6,12,12,12,18,24
116,116001,PENDIDIKAN TEKNIK ELEKTRO,Sarjana,42,42,1,7,15,24,48,21,21,32,32
116,116002,PENDIDIKAN TEKNOLOGI INFORMASI,Sarjana,70,311,29,66,50,56,48,21,21,21,21
116,116003,ARSITEKTUR,Sarjana,50,131,17,25,42,45,64,36,9,36,36
116,116004,TEKNIK LINGKUNGAN,Sarjana,50,188,19,35,33,34,64,36,18,27,27
116,116005,BIOLOGI,Sarjana,24,139,29,56,18,35,48,36,18,9,15
116,116006,KIMIA,Sarjana,12,50,10,7,10,8,48,36,9,9,9
116,116008,ILMU HUKUM,Sarjana,70,99,39,72,92,94,48,36,32,36,41
116,116009,BIMBINGAN KONSELING,Sarjana,70,68,23,30,88,115,48,21,21,21,24
116,116010,ILMU PERPUSTAKAAN,Sarjana,56,59,17,58,85,112,64,36,42,32,36
116,116013,ILMU EKONOMI,Sarjana,56,70,15,19,47,90,64,48,21,21,27
116,116014,ILMU POLITIK,Sarjana,42,27,2,18,20,31,48,36,21,32,32
116,116015,ILMU ADMINISTRASI NEGARA,Sarjana,70,95,33,45,88,101,48,36,21,42,42
116,116016,PSIKOLOGI,Sarjana,84,91,19,62,123,170,48,36,32,42,42
121,121001,PENDIDIKAN DOKTER,Sarjana,50,1722,1075,981,1609,1714,79,62,45,50,50
121,121002,TEKNIK SIPIL,Sarjana,45,1557,677,725,1018,878,48,39,42,45,45
121,121003,TEKNIK MESIN,Sarjana,30,1039,478,500,386,367,63,52,57,30,30
121,121004,TEKNIK ELEKTRO,Sarjana,41,999,532,556,568,585,63,52,57,41,41
121,121005,TEKNIK INDUSTRI,Sarjana,48,1603,803,812,854,1065,63,52,57,36,48
121,121006,TEKNIK KIMIA,Sarjana,36,948,540,493,546,573,63,52,57,36,45
121,121007,PENDIDIKAN DOKTER GIGI,Sarjana,30,1344,767,774,950,968,79,62,45,30,30
121,121008,MATEMATIKA,Sarjana,45,1031,582,535,582,448,38,50,54,54,45
121,121009,KIMIA,Sarjana,45,607,341,348,393,348,45,58,63,63,45
121,121010,FARMASI,Sarjana,41,2513,1339,1368,1895,1827,76,59,44,31,37
121,121011,FISIKA,Sarjana,45,423,232,221,226,220,38,50,54,54,45
121,121012,ILMU KESEHATAN MASYARAKAT,Sarjana,80,2589,1277,1288,1776,1643,95,89,70,80,80
121,121013,AGROEKOTEKNOLOGI,Sarjana,90,2036,993,945,1214,969,95,81,90,90,90
121,121014,KETEKNIKAN PERTANIAN,Sarjana,30,1007,371,426,447,573,32,27,30,30,30
121,121015,BIOLOGI,Sarjana,45,724,370,383,606,567,38,50,54,54,45
121,121016,AGRIBISNIS,Sarjana,60,2421,1123,1002,1278,1057,50,50,54,60,60
121,121017,ILMU DAN TEKNOLOGI PANGAN,Sarjana,30,1185,611,579,759,749,32,27,30,30,30
121,121018,PETERNAKAN,Sarjana,40,850,402,409,588,372,38,54,60,72,16
121,121019,ARSITEKTUR,Sarjana,33,1084,573,614,688,578,63,52,57,30,30
121,121020,ILMU KEPERAWATAN,Sarjana,72,1083,575,610,985,1366,48,54,60,30,72
121,121021,KEHUTANAN,Sarjana,90,1765,874,933,1182,783,70,82,90,100,90
121,121022,ILMU KOMPUTER,Sarjana,30,2553,1273,1238,1625,1598,48,41,30,30,30
121,121023,TEKNOLOGI INFORMASI,Sarjana,30,2123,1117,1059,1707,1657,47,41,30,30,30
121,121024,MANAJEMEN SUMBER DAYA PERAIRAN,Sarjana,30,873,381,383,441,456,32,27,30,30,30
121,121025,TEKNIK LINGKUNGAN,Sarjana,20,528,287,348,614,694,16,14,24,38,36
121,121027,ILMU HUKUM,Sarjana,100,2572,1254,1216,1286,1295,189,162,120,140,100
121,121028,ILMU SEJARAH,Sarjana,54,250,119,142,162,193,19,24,27,27,27
121,121029,ANTROPOLOGI SOSIAL,Sarjana,33,459,205,267,240,269,32,27,36,36,36
121,121030,AKUNTANSI,Sarjana,50,2613,1136,1134,1684,1463,79,68,50,50,50
121,121031,SOSIOLOGI,Sarjana,39,797,426,402,512,539,32,30,42,42,42
121,121032,ILMU KESEJAHTERAAN SOSIAL,Sarjana,33,677,349,398,533,487,32,33,36,36,36
121,121033,ILMU ADMINISTRASI NEGARA,Sarjana,22,2299,1092,836,650,496,51,54,36,24,24
121,121034,ILMU KOMUNIKASI,Sarjana,22,1568,759,698,655,740,41,34,24,24,24
121,121035,MANAJEMEN,Sarjana,50,3366,1476,1460,2264,2083,79,68,50,50,50
121,121036,EKONOMI PEMBANGUNAN,Sarjana,53,1063,467,516,551,579,55,48,53,53,53
121,121037,ILMU POLITIK,Sarjana,33,655,253,275,352,395,32,27,36,36,36
121,121038,SASTRA INDONESIA,Sarjana,35,691,290,265,190,223,38,32,42,42,42
121,121039,SASTRA DAERAH UNTUK SASTRA MELAYU,Sarjana,38,41,16,15,15,4,23,45,50,35,35
121,121040,SASTRA INGGRIS,Sarjana,64,1402,566,621,313,298,45,35,45,35,35
121,121041,SASTRA DAERAH UNTUK SASTRA BATAK,Sarjana,35,54,23,17,18,18,23,45,50,20,35
121,121042,SASTRA ARAB,Sarjana,65,311,162,176,57,50,38,55,60,60,63
121,121043,ETNO MUSIKOLOGI,Sarjana,45,43,23,40,23,17,25,41,45,45,45
121,121044,SASTRA JEPANG,Sarjana,59,322,132,177,97,116,23,41,45,45,45
121,121045,ILMU PERPUSTAKAAN,Sarjana,40,936,510,450,290,288,26,27,40,32,40
121,121046,SASTRA CINA,Sarjana,30,122,63,65,39,36,19,22,24,28,20
121,121047,ILMU ADMINISTRASI NIAGA/BISNIS,Sarjana,22,1675,817,641,683,571,47,33,24,24,24
121,121048,PSIKOLOGI,Sarjana,75,2088,969,1063,822,907,79,68,75,75,75
122,122001,PENDIDIKAN MATEMATIKA,Sarjana,57,1380,867,823,853,802,81,80,70,53,56
122,122002,PENDIDIKAN BIOLOGI,Sarjana,64,1372,696,610,784,863,56,39,36,36,38
122,122003,PENDIDIKAN FISIKA,Sarjana,64,648,392,355,319,397,44,46,44,44,48
122,122004,PENDIDIKAN KIMIA,Sarjana,89,798,413,419,351,377,42,46,40,44,48
122,122005,PENDIDIKAN TEKNIK BANGUNAN,Sarjana,38,148,58,75,115,135,24,22,20,27,26
122,122006,PENDIDIKAN TEKNIK MESIN,Sarjana,38,271,110,128,376,334,27,22,20,22,24
122,122007,PENDIDIKAN TEKNIK ELEKTRO,Sarjana,32,169,79,80,131,136,24,22,20,18,20
122,122008,KIMIA,Sarjana,29,266,157,115,201,185,12,20,16,18,18
122,122009,BIOLOGI,Sarjana,48,591,254,264,434,472,36,30,28,30,30
122,122010,ILMU KEOLAHRAGAAN,Sarjana,74,50,35,42,56,77,23,25,28,37,47
122,122011,MATEMATIKA,Sarjana,32,421,210,193,379,293,24,22,20,22,26
122,122012,FISIKA,Sarjana,26,173,64,79,89,129,12,10,16,18,20
122,122013,PENDIDIKAN TEKNIK OTOMOTIF,Sarjana,38,251,117,107,332,292,24,22,20,22,24
122,122014,GIZI,Sarjana,41,719,423,545,990,1223,12,15,20,22,26
122,122015,TEKNIK ELEKTRO,Sarjana,32,338,165,177,390,434,12,13,16,20,20
122,122016,TEKNIK SIPIL,Sarjana,38,569,241,280,608,670,18,20,20,25,24
122,122017,PENDIDIKAN TEKNOLOGI INFORMATIKA DAN KOMPUTER,Sarjana,38,745,411,425,719,834,24,22,18,20,24
122,122018,ILMU KOMPUTER,Sarjana,35,679,431,461,829,1159,15,20,16,18,24
122,122019,PENDIDIKAN IPA,Sarjana,29,191,259,327,276,436,30,26,24,14,18
122,122021,PENDIDIKAN SEJARAH,Sarjana,51,750,414,357,491,503,36,30,36,36,36
122,122022,PEND. PANCASILA & KEWARGANEGARAAN (PPKN),Sarjana,51,644,381,364,425,403,36,31,36,36,36
122,122023,PENDIDIKAN GEOGRAFI,Sarjana,51,917,511,440,476,443,36,31,36,36,36
122,122024,"PEND. JASMANI, KESEHATAN & REKREASI",Sarjana,117,260,169,233,287,310,48,46,48,64,74
122,122025,PENDIDIKAN KEPELATIHAN OLAHRAGA (PKO),Sarjana,117,203,105,135,191,175,48,44,48,64,74
122,122026,PENDIDIKAN LUAR SEKOLAH (PLS),Sarjana,36,155,62,70,106,118,27,20,20,23,23
122,122027,PENDIDIKAN EKONOMI,Sarjana,24,711,335,260,304,353,33,26,20,17,16
122,122028,MANAJEMEN,Sarjana,38,2239,981,916,1884,1942,33,26,24,22,24
122,122029,AKUNTANSI,Sarjana,32,1570,700,654,1084,956,33,26,24,22,20
122,122030,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Sarjana,79,1489,725,672,969,962,45,42,40,44,50
122,122031,PENDIDIKAN BAHASA INGGRIS,Sarjana,80,1631,759,669,900,852,45,37,40,44,50
122,122032,PENDIDIKAN BAHASA PERANCIS,Sarjana,51,111,42,47,46,56,30,30,24,30,30
122,122033,PENDIDIKAN BAHASA JERMAN,Sarjana,51,192,57,56,75,85,21,25,24,28,30
122,122034,PENDIDIKAN SENI RUPA,Sarjana,38,84,58,61,97,88,27,15,16,22,24
122,122035,SASTRA INDONESIA,Sarjana,38,492,174,154,314,275,21,20,20,25,24
122,122036,SASTRA INGGRIS,Sarjana,38,749,328,295,625,530,21,19,20,22,24
122,122038,PENDIDIKAN GURU SEKOLAH DASAR (PGSD),Sarjana,150,3304,2330,2276,3268,3172,96,88,84,95,95
122,122039,PENDIDIKAN TATA BOGA,Sarjana,32,897,492,465,644,653,24,20,20,22,22
122,122040,PENDIDIKAN TATA RIAS,Sarjana,38,619,317,345,427,441,24,20,20,22,22
122,122041,PENDIDIKAN ANTROPOLOGI,Sarjana,51,534,299,291,334,322,36,30,32,34,34
122,122042,PEND. GURU PENDIDIKAN ANAK USIA DINI,Sarjana,64,637,368,337,521,453,36,35,36,40,40
122,122043,PENDIDIKAN BIMBINGAN DAN KONSELING,Sarjana,64,1406,731,694,1059,1108,40,38,36,40,40
122,122044,PENDIDIKAN AKUNTANSI,Sarjana,24,489,215,222,144,236,33,17,20,17,16
122,122046,PENDIDIKAN ADMINISTRASI PERKANTORAN,Sarjana,24,940,429,401,617,645,21,17,20,17,16
122,122047,PENDIDIKAN BISNIS,Sarjana,24,255,97,134,287,374,21,17,20,17,16
122,122048,PENDIDIKAN TARI,Sarjana,48,69,41,87,85,85,18,16,16,20,30
122,122049,PENDIDIKAN MUSIK,Sarjana,48,122,66,94,136,104,30,27,24,27,30
122,122050,PENDIDIKAN TATA BUSANA,Sarjana,32,716,445,547,708,728,24,20,20,22,22
122,122051,SENI PERTUNJUKAN,Sarjana,26,15,3,7,18,19,9,16,12,16,16
122,122052,ILMU EKONOMI,Sarjana,24,482,282,250,624,493,21,26,24,22,16
123,123001,ILMU KOMPUTER,Sarjana,59,654,325,423,585,621,74,63,84,53,60
123,123002,SISTEM INFORMASI,Sarjana,59,339,199,290,324,334,74,63,84,53,60
123,123003,MATEMATIKA,Sarjana,32,147,51,65,118,99,49,42,56,35,30
123,123004,BIOLOGI,Sarjana,32,184,95,93,162,166,49,42,56,35,30
123,123005,FISIKA,Sarjana,32,53,30,29,34,57,37,32,42,27,30
123,123006,ILMU KESEHATAN MASYARAKAT,Sarjana,126,478,366,506,695,770,140,120,160,100,165
123,123007,ILMU PERPUSTAKAAN,Sarjana,42,313,136,172,196,229,49,48,48,23,38
123,123008,ILMU KOMUNIKASI,Sarjana,51,633,202,280,425,518,118,48,48,23,64
131,131001,FISIKA,Sarjana,36,158,101,91,94,92,42,36,36,36,36
131,131002,KIMIA,Sarjana,36,366,216,205,203,228,42,36,36,36,36
131,131003,MATEMATIKA,Sarjana,24,498,267,251,230,198,28,24,24,24,24
131,131004,BIOLOGI,Sarjana,36,445,183,241,292,316,42,36,36,36,36
131,131005,MANAJEMEN SUMBERDAYA PERAIRAN,Sarjana,48,303,186,162,179,195,28,36,36,36,48
131,131006,BUDIDAYA PERAIRAN,Sarjana,48,205,129,146,138,126,28,36,36,36,48
131,131007,ILMU KELAUTAN,Sarjana,48,413,197,219,181,191,42,36,36,36,36
131,131008,TEKNOLOGI HASIL PERIKANAN,Sarjana,48,329,161,128,130,161,42,36,36,36,48
131,131009,PEMANFAATAN SUMBERDAYA PERIKANAN,Sarjana,24,134,75,71,75,84,28,24,24,24,24
131,131010,SOSIAL EKONOMI PERIKANAN,Sarjana,36,96,53,39,70,73,28,24,24,24,36
131,131011,AGROTEKNOLOGI,Sarjana,60,1271,742,674,684,603,70,60,60,60,60
131,131012,SOSIAL EKONOMI PERTANIAN (AGRIBISNIS),Sarjana,36,1336,542,560,673,651,56,48,36,36,36
131,131013,TEKNOLOGI HASIL PERTANIAN,Sarjana,24,401,235,235,228,174,14,24,24,24,24
131,131014,KEHUTANAN,Sarjana,36,488,337,255,326,345,28,24,12,24,36
131,131015,TEKNIK SIPIL,Sarjana,36,1177,620,611,646,562,49,36,36,36,36
131,131016,TEKNIK KIMIA,Sarjana,24,650,410,318,461,464,56,36,36,36,24
131,131017,TEKNIK MESIN,Sarjana,18,558,311,303,452,387,48,36,36,36,36
131,131018,TEKNIK ELEKTRO,Sarjana,24,508,308,297,331,354,48,24,24,24,36
131,131019,PEND. DOKTER,Sarjana,45,1255,854,895,1288,1535,25,36,36,36,36
131,131020,ILMU KEPERAWATAN,Sarjana,84,1347,738,901,1167,1313,70,60,60,60,60
131,131021,PEND. MATEMATIKA,Sarjana,36,867,617,555,502,465,28,24,36,36,36
131,131022,PEND. BIOLOGI,Sarjana,24,634,389,379,459,433,28,24,24,24,24
131,131023,PEND. FISIKA,Sarjana,24,347,214,182,135,151,28,24,24,24,24
131,131024,PEND. KIMIA,Sarjana,24,374,225,196,171,160,28,24,24,24,24
131,131025,TEKNIK LINGKUNGAN,Sarjana,24,372,387,295,338,339,28,24,24,24,24
131,131026,TEKNIK ARSITEK,Sarjana,24,326,249,257,251,287,14,24,12,12,24
131,131027,SISTEM INFORMASI,Sarjana,36,855,475,465,796,970,28,36,36,24,36
131,131028,TEKNIK INFORMATIKA,Sarjana,24,447,268,432,1129,1158,14,24,24,24,24
